Character,Mark,Quality,Item
Isaac,Boss Rush,0,Isaac's Head (trinket)
Magdalene,Boss Rush,2,Maggy's Bow
Cain,Boss Rush,4,Cain's Other Eye
Judas,Boss Rush,3,Judas' Shadow
???,Boss Rush,1,???'s Only Friend
Eve,Boss Rush,4,Eve's Mascara
Samson,Boss Rush,0,Samson's Chains
Azazel,Boss Rush,2,The Nail
Lazarus,Boss Rush,0,Missing No.
Eden,Boss Rush,3,Undefined
The Lost,Boss Rush,2,D100
Lilith,Boss Rush,1,Immaculate Conception
Keeper,Boss Rush,0,Sticky Nickels (Coins)
Apollyon,Boss Rush,1,Locust of Conquest (Trinket)
The Forgotten,Boss Rush,2,Divorce Papers
Bethany,Boss Rush,2,Beth's Faith (Trinket)
Jacob & Esau,Boss Rush,4,Rock Bottom
Isaac,Mom's Heart,0,Lost Baby (Co-Op)
Magdalene,Mom's Heart,0,Cute Baby (Co-Op)
Cain,Mom's Heart,0,Glass Baby (Co-Op)
Judas,Mom's Heart,0,Shadow Baby (Co-Op)
???,Mom's Heart,0,Dead Baby (Co-Op)
Eve,Mom's Heart,0,Crow Baby (Co-Op)
Samson,Mom's Heart,0,Fighting Baby (Co-Op)
Azazel,Mom's Heart,0,Begotten Baby (Co-Op)
Lazarus,Mom's Heart,0,Wrapped Baby (Co-Op)
Eden,Mom's Heart,0,Glitch Baby (Co-Op)
The Lost,Mom's Heart,0,-0- Baby (Co-Op)
Lilith,Mom's Heart,0,Goat Head Baby (Co-Op)
Keeper,Mom's Heart,0,Super Greed Baby (Co-Op)
Apollyon,Mom's Heart,3,Smelter
The Forgotten,Mom's Heart,2,Marrow
Bethany,Mom's Heart,0,Wisp Baby (Co-Op)
Jacob & Esau,Mom's Heart,0,Double Baby (Co-Op)
Isaac,Satan,4,Mom's Knife
Magdalene,Satan,2,Guardian Angel
Cain,Satan,2,Bag of Bombs
Judas,Satan,2,Judas' Tongue (Trinket)
???,Satan,4,Forget Me Now
Eve,Satan,0,The Razor
